client_protocol,remote_protocol,inverse_failure_probability,init_count,init_failures,method_call_count,method_call_failures,non_idempotent_calls,non_idempotent_mismatches
DefaultProto,DefaultProto,,10,0,10020,0,3340,0
FaultyDefaultProto,DefaultProto,10,10,0,11019,2,3672,0
DefaultProto,DefaultProto,,10,0,10020,0,3340,0
FaultyDefaultProto,DefaultProto,100,10,0,10020,0,3340,0
DefaultProto,DefaultProto,,10,0,10020,0,3340,0
FaultyDefaultProto,DefaultProto,1000,10,0,10020,0,3340,0
DefaultProto,DefaultProto,,10,0,10020,0,3340,0
FaultyDefaultProto,DefaultProto,10000,10,0,11019,2,3672,0
DefaultProto,DefaultProto,,10,0,10020,0,3340,0
FaultyDefaultProto,DefaultProto,100000,10,0,11019,2,3672,0
DefaultProto,DefaultProto,,10,0,10020,0,3340,0
FaultyDefaultProto,DefaultProto,1000000,10,0,11019,2,3672,0
DefaultProto,FaultyDefaultProto,10,10,0,5091,501,1530,0
FaultyDefaultProto,FaultyDefaultProto,10,10,3,4899,500,1483,0
DefaultProto,FaultyDefaultProto,100,10,0,50688,500,16710,0
FaultyDefaultProto,FaultyDefaultProto,100,10,1,45876,500,15115,0
DefaultProto,FaultyDefaultProto,1000,10,0,20019,29,6664,0
FaultyDefaultProto,FaultyDefaultProto,1000,10,0,39021,40,12993,0
DefaultProto,FaultyDefaultProto,10000,10,0,10020,0,3340,0
FaultyDefaultProto,FaultyDefaultProto,10000,10,0,11019,2,3672,0
DefaultProto,FaultyDefaultProto,10000,10,0,10020,0,3340,0
FaultyDefaultProto,FaultyDefaultProto,100000,10,0,10020,0,3340,0
DefaultProto,FaultyDefaultProto,1000000,10,0,10020,0,3340,0
FaultyDefaultProto,FaultyDefaultProto,1000000,10,0,10020,0,3340,0
HandshakeProto,FaultyHandshakeProto,10,10,2,5052,501,1531,0
FaultyHandshakeProto,FaultyHandshakeProto,10,10,1,5097,500,1550,0
HandshakeProto,FaultyHandshakeProto,100,10,0,48123,500,15857,0
FaultyHandshakeProto,FaultyHandshakeProto,100,10,0,48186,500,15893,0
HandshakeProto,FaultyHandshakeProto,1000,10,0,19020,23,6330,0
FaultyHandshakeProto,FaultyHandshakeProto,1000,10,0,27018,31,8999,0
HandshakeProto,FaultyHandshakeProto,10000,10,0,10020,3,3339,0
FaultyHandshakeProto,FaultyHandshakeProto,10000,10,0,10020,1,3340,0
HandshakeProto,FaultyHandshakeProto,100000,10,0,10020,1,3339,0
FaultyHandshakeProto,FaultyHandshakeProto,100000,10,0,12018,6,4004,0
HandshakeProto,FaultyHandshakeProto,1000000,10,0,10020,0,3340,0
FaultyHandshakeProto,FaultyHandshakeProto,1000000,10,0,10020,0,3340,0
RequestAckProto,FaultyRequestAckProto,10,10,2,5247,500,1580,1
FaultyRequestAckProto,FaultyRequestAckProto,10,10,0,5571,501,1683,6
RequestAckProto,FaultyRequestAckProto,100,10,0,49194,502,16213,0
FaultyRequestAckProto,FaultyRequestAckProto,100,10,1,48690,500,16067,0
RequestAckProto,FaultyRequestAckProto,1000,10,0,31020,43,10324,0
FaultyRequestAckProto,FaultyRequestAckProto,1000,10,0,20019,20,6666,0
RequestAckProto,FaultyRequestAckProto,10000,10,0,10020,0,3340,0
FaultyRequestAckProto,FaultyRequestAckProto,10000,10,0,10020,3,3338,0
RequestAckProto,FaultyRequestAckProto,100000,10,0,10020,2,3339,0
FaultyRequestAckProto,FaultyRequestAckProto,100000,10,0,10020,1,3339,0
RequestAckProto,FaultyRequestAckProto,1000000,10,0,10020,2,3338,0
FaultyRequestAckProto,FaultyRequestAckProto,1000000,10,0,10020,1,3339,0
HandshakeProto,HandshakeProto,,10,0,11019,2,3672,0
FaultyHandshakeProto,HandshakeProto,10,10,0,10020,1,3340,0
HandshakeProto,HandshakeProto,,10,0,11019,2,3672,0
FaultyHandshakeProto,HandshakeProto,100,10,0,10020,0,3340,0
HandshakeProto,HandshakeProto,,10,0,11019,4,3671,0
FaultyHandshakeProto,HandshakeProto,1000,10,0,10020,1,3340,0
HandshakeProto,HandshakeProto,,10,0,11019,4,3671,0
FaultyHandshakeProto,HandshakeProto,10000,10,0,10020,1,3339,0
HandshakeProto,HandshakeProto,,10,0,10020,0,3340,0
FaultyHandshakeProto,HandshakeProto,100000,10,0,10020,1,3339,0
HandshakeProto,HandshakeProto,,10,0,10020,1,3340,0
FaultyHandshakeProto,HandshakeProto,1000000,10,0,11019,3,3672,0
RequestAckProto,RequestAckProto,,10,0,10020,0,3340,0
FaultyRequestAckProto,RequestAckProto,10,10,0,10020,0,3340,0
RequestAckProto,RequestAckProto,,10,0,10020,1,3340,0
FaultyRequestAckProto,RequestAckProto,100,10,0,10020,0,3340,0
RequestAckProto,RequestAckProto,,10,0,10020,0,3340,0
FaultyRequestAckProto,RequestAckProto,1000,10,0,10020,0,3340,0
RequestAckProto,RequestAckProto,,10,0,10020,0,3340,0
FaultyRequestAckProto,RequestAckProto,10000,10,0,10020,0,3340,0
RequestAckProto,RequestAckProto,,10,0,10020,0,3340,0
FaultyRequestAckProto,RequestAckProto,100000,10,0,10020,2,3339,0
RequestAckProto,RequestAckProto,,10,0,10020,0,3340,0
FaultyRequestAckProto,RequestAckProto,1000000,10,0,10020,0,3340,0
